Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
DiscountsMania.Com,@DiscountsmaniaC,2020-07-24T21:37:18.000Z,"AMERTEER Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with 2.8” Touch Screen, 4X Digital Zoom, Toys Gift for 3-12 Years Old Girls Boys Party Outdoor (blue) …AMERTEER Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with...
【Good Partner for Kids】Kids camera is the ideal gift for Christmas/ birthday/ holiday for children 3-12 years. Enables kids to explore the world through their eyes while encouraging creativity and...
discountsmania.com",,,
Jeff Evans,@jeffrevans,2020-07-24T21:12:40.000Z,"My first dual ZOOM...

Helping with Transitions on one screen, meeting with a few West Region SID's on the other.",,,7
Matthew S. Cuyugan,@MSCuyugan_WX,2020-07-22T13:31:02.000Z,"• 1.1-inch Super AMOLED screen (cover display, folded)
• 12MP main rear camera with OIS, 8x zoom and Super Speed Dual Pixel AF
• 12MP secondary ultra-wide camera
• 10MP front camera
• Android 10, One UI
• 3,300 mAh battery
• 5G-ready
• Price: $1,449

[2/2]",,,
Claudine Caruso,@claudcaruso,2020-07-22T08:11:58.000Z,"Replying to 
@mimsNeeded an external light for the Zoom calls, a monitor stand for dual-screen. Shopping for standing desk. Not enough space in house for me, spouse & kids to all be on video constantly. Considering moving, esp if school district again sh*ts the bed on distance learning.",,,1
Deb Yu,@DebWebDev,2020-07-08T16:51:04.000Z,"Replying to 
@ChurkinSerge
 and 
@junocollegeI'm actually not running dual-screen, they are two separate processors (the monitor is hooked up to my PC). I don't have a 4k, but my mac already is heating up just by running zoom and vscode all day ",,,1
Techsthetic,@Imaz728,2020-07-08T14:19:58.000Z,"Replying to 
@iprinceofdubai
 and 
@SamMobilesAnd lol who copied big screen phones, who copied OIS, water resistance, Dual OIS, Audio zoom, Ultrawide camera, Gear Icon X, Gear S watch, S pen?",,,
Silversmith,@lizsilversmith,2020-07-08T11:09:17.000Z,"Replying to 
@AmanwyCan you type on both of them at the same time? 

Dual laptops is a good shout. I just have a second screen to extend my setup for Zoom calls, but it means I'm always looking to the side...",,,
We Love Dogs,@DailyDogTwit,2020-07-05T07:34:24.000Z,"VanTop Moment 6S 4K/60FPS Action Camera with EIS, Dual Screen, External Microphone, 8X Slow Motion/Digital Zoom, 5G WiFi, 30M Waterproof Underwater Camera w/Gopro Compatible Accessories, 2 Batteries http://droneonthemoon.com/vantop-moment-6s-4k-60fps-action-camera-with-eis-dual-screen-external-microphone-8x-slow-motion-digital-zoom-5g-wifi-30m-waterproof-underwater-camera-w-gopro-compatible-accessories-2-batteries/…",,,
Prime Force Studios,@Primeforce3SP,2020-06-28T16:44:29.000Z,"Replying to 
@TFanPage101
 @Hasbro
 and 
@toysruscanadaAnd we can do collaboration when you get the package by a zoom call or Skype screen cap so you can open package first then we can open ours together and dual review it shareing our split opinions on set I can get 2 in November and send one to you no pay back",,,
Jay,@parajackal,2020-06-28T15:54:10.000Z,"@zoom_us
 please let dual core Intel i5 users be able to use virtual backgrounds without the need for a green screen. Skype makes it work on my 2013 MacBook Air.",,,
Sherice Varney,@shericevarney12,2020-06-25T20:59:29.000Z,"VanTop Moment 6S 4K/60FPS Action Camera with EIS, Dual Screen, External Microphone, 8X Slow Motion/Digital Zoom, 5G WiFi, 30M Waterproof Underwater Camera w/Gopro Compatible Accessories, 2 Batteries https://amazon.com/dp/B085ZWJGHT?tag=hmsus-20…",,,
Feryat Ben,@FeryatBen,2020-06-25T14:17:54.000Z,"Dolby Atmos, Hi-Res Audio, Active noise cancelation with dual microphones, 2.5D curved glass screen, Gorning Gorilla Glass 5, Adreno 640, Side-mounted fingerprint sensor, EİS, Starry Mode, Super Nightscape, Expert Mode, UIS Video Stabilization, 5x optical zoom, 2160p@30fps,",1,,
Versatile Knowledge,@versatileknow,2020-06-25T08:09:12.000Z,"RealMe X3 & RealMe X3 Superzoom launched in India today. #realmeX3 #realme 

Snapdragon 855+ 
6, 8, 12 GB RAM 
128, 256 GB UFS 3.0 
Super night mode
60X zoom on Superzoom
32MP dual selfie (Superzoom) 
16MP dual selfie (X3) 
64MP samsung GW1 
30W dart charging
120Hz IPS LCD screen",1,,
drea,@umbrellatran,2020-06-25T03:15:16.000Z,"Things I have realized:

Having a dual screen setup for zoom lectures is an underrated flex

Using a mechanical keyboard to take notes during zoom lectures...someone should have warned me about that shit",1,,1
Diana Christine,@ChristyPaffgen,2020-06-24T04:47:49.000Z,"But with neuropsych: Zoom, dual screen for instructions and screen share stimuli, iPad for admin, writing pad for Bx obs Quote Tweet
Alexandra Finley
@AlexJFinley
 · Jun 23
Admin in 2020: please be prepared to teach online, in person, both simultaneously, on a moving train, while juggling, in a burning building, under the sea, during a wrestling match with a T-Rex, as a hologram, and riding a unicorn. Also be safe and we value you.",,,
Luz HuntingtonMoskos,@LuzPhDRN,2020-06-20T19:46:21.000Z,"Replying to 
@alex_verdant
 @native4data
 and 
@AcademicChatterI completely agree. A dual screen set up in home office is a must. I work with a MacBook primarily so my home office has additional screen, laptop stand, additional keyboard and a ring light for good lighting during all these zoom meetings.",2,,6
Jae Yeon Kim,@JaeJaeykim2,2020-06-20T03:00:32.000Z,Today I used a dual monitor option for the first time for my Zoom talk. It was actually great. I shared my screen in one monitor and observed how the audience reacted in the other monitor. One q: is there a way a speaker can check the chatbox as well?,1,,4
Dominykas Blyžė,@eDominykas,2020-06-19T14:08:58.000Z,"Zoom has a dual screen setting and that's a game changer, because I no longer have a spare monitor to get distracted by, so I pay attention in the meetings.

No, I'm totally not tweeting this from the phone while in a meeting.",,,5
Fay Feller,@fayfeller28,2020-06-18T06:59:51.000Z,"VanTop Moment 6S 4K/60FPS Action Camera with EIS, Dual Screen, External Microphone, 8X Slow Motion/Digital Zoom, 5G WiFi, 30M Waterproof Underwater Camera w/Gopro Compatible Accessories, 2 Batteries https://amazon.com/dp/B085ZWJGHT?tag=hmsus-20…",,,
Fi,@yuwafff,2020-06-13T03:21:23.000Z,"Replying to 
@rachajulian_dual screen zoom dan twitter gonta ganti",1,,
Aparna sinha,@aparna326,2020-06-11T19:09:34.000Z,"Gadget gurus thoda samjhayein iphone 11, iphone X se sasta kyun hai? Dual sim hai, 5 X zoom hai, badi screen hai tab bhi",4,,2
vikas surya,@Vikasjamess,2020-06-11T14:29:43.000Z,"OPPO Reno 10x has Dual OIS, 10x optical zoom, 116score in dxo mark, notchles screen, no camera bump, hybrid slot, stereo speakers, moreover it will come under 25k in Flipkart sales then it's good deal bro",,,
Poly,@PolyCompany,2020-06-10T20:07:38.000Z,"Replying to 
@WCInterpreting
 and 
@zoom_usThe Zoom requirements are 2 Mbps for single screen, 4 Mbps for dual screen. Here is some additional info
 https://support.zoom.us/hc/en-us/articles/204003179-System-Requirements-for-Zoom-Rooms…  Thx!",1,,1
Sara(h),@myownsunshinee,2020-06-08T06:06:19.000Z,"Replying to 
@NowImChangedI tried that but not all websites are accessible on an iPad, and you can’t have dual screen (like when you’re bored on zoom or something) but the iPad worked great till I needed it for school",,,
BOOcardo,@OhItsRicardo_,2020-06-06T18:07:48.000Z,"Replying to 
@joselynalghul*extreme nerd voice* so both phones actually use the same camera so pictures will come out looking the same. The XS actually has dual camera so if you needed to zoom in on things, it's going to look sharper than the XR. The other difference is the screen...",1,,1
Jan Murphy,@packrat74,2020-06-03T17:03:41.000Z,"Replying to 
@packrat74
 @genealgenie
 and 3 othersI can see where if you're hard of hearing, it might be useful to have a dual-screen setup with the presentation slides on one screen and the speaker's video on another.  It's a pity Zoom & other services don't give participants more options. 2/end",2,,1
Lu'sKo,@LUSKO_M,2020-05-29T12:52:25.000Z,"Replying to 
@HuaweiZAHost: Minnie Dlamini Jones
Features: 5G connectivity, Ultra vision sensor, 100X ax optical zoom, Quad back camera, audio zoom, 40W power charge, 32MP dual front camera, multi-screen control, golden snap, attention awareness
#HUAWEIP40Series #HUAWEIAppGallery",,,
Kristin Simmers,@KristinASimmers,2020-05-27T19:22:48.000Z,"Replying to 
@AceThatTestA2: Dual coding for multilingual students (& newer to English) is essential. I use screen-share on Zoom to provide visual support for what is being discussed. #LrnSciChat",1,3,1
Satya,@Satya68538437,2020-05-27T09:05:32.000Z,"Sir 
@MadhavSheth1
 iam big fan of 
@realmemobiles
 iam eagarly waiting for your mid range 5g phone 
Launche a phone with :sd768g 5g;108mp quad cam with 50x zoom;dual punch hole selfie camera ; 4500 mah battery ; amoled screen with 90hz refresh rate ; 30 watt fast charging.under 25k",1,,
Alfie Goodrich,@AlfieJapanorama,2020-05-27T05:50:34.000Z,"About to do a dry-run for Saturday’s online class: ‘Household objects. One light. Black & White’. QDSLR running on one screen, tethering the Nikon. Zoom will be running in dual screen mode on the other monitor. #photography",3,,13
Ms Octoburrr,@MuvaofGotti,2020-05-26T00:52:58.000Z,"Hey guys there’s something truly wrong with Instagram today because the dual screen that we use for my ig battles is having technical difficulties today as well as opposed to the other days where it works perfectly, we’re moving our battle to zoom tonight",,2,2
Keith M. Silver,@FrankDade1,2020-05-25T05:40:57.000Z,"Roll over image to zoom in
Xiaomi Mi 9T (128GB, 6GB RAM) 6.39"" AMOLED FHD + Full Screen Display, 48MP Triple Camera, Global 4G LTE Dual SIM GSM Factory Unlocked (Carbon Black)

https://amzn.to/3esqBk7",,,
Claire Mitchell,@DrCMitchell,2020-05-21T17:54:07.000Z,"Weekly lockdown highlight for me. Hopefully next week I'll manage to not accidentally exit Zoom 3/4 of the way through while fiddling with my dual-screen and be too ashamed to ask to rejoin Quote Tweet
FocalPlane
@focalplane_jcs
 · May 21
Join our @focalplane_jcs journal club on Wednesday 27 May at 5pm (UK time). @wiebkejahr will be presenting ""Instantaneous isotropic volumetric imaging of fast biological processes"" from Hufnagel and Prevedel groups https://nature.com/articles/s41592-019-0393-z…. Sign up here: http://eepurl.com/g1T5oz",1,,4
Angela Morris,@AMorrisReports,2020-05-21T14:01:27.000Z,"I enjoy the #AppellateTwitter discussions when ppl fluff out their chests & boast about all their monitors (Hey, I'm proud of my dual screen setup, just as much as the next gal). Well - the same discussion came up re: TX 1st Zoom jury trial https://at.law.com/GLLcpw?cmp=share_twitter… 
@TexasLawyerThe Jury and the Screen: Judges, Lawyers Reflect on Texas' Experimental Zoom Jury Trial | Texas...
I can't think of any other time---other than a global pandemic---that we would be able to make that happen that quickly, Judge Emily Miskel said.
law.com",,,
ben,@bencsin,2020-05-13T07:15:16.000Z,"So moving forward I want foldables or dual screen phones. Phones that are radical. 

Other than improving low light and zoom shots incrementally, what can the next slab phone do the current batch didn't already do? Not much.",1,,2
"Sam Richardson, PhD (He/Him/His)",@Prof_Richardson,2020-05-12T18:20:39.000Z,".
@zoom_us
 teaching question: I'm running zoom on my laptop and sharing my iPad screen. Can I have the laptop screen show the gallery view of participants instead of showing the shared iPad screen? (without using dual-monitors) Thanks!
CC 
@tedsvo
 @TeachBetterCo
 @matt_rutledge",1,,
Chris Fox,@chriscfox,2020-05-12T18:05:12.000Z,I'm finding my dual-screen setup very effective. The people I  am talking to in Zoom on the one screen. Whatever I am working on on the other. Occasionally I am reminded that others are not as well set up.,1,,1
Ink,@Inkbetweens,2020-05-12T04:13:53.000Z,"Replying to 
@FromHappyRockDiscord is ok. If you can get a previous version of zoom it is also only ok. 

There are programs where you can share a canvas. Like drawpile
@michaeldoigart
 and 
@OldSwifty
 have a good dual screen setup but I don't know exactly how they are achieving it technology wise",,2,6
buyandfast,@NGamiotea,2020-05-09T18:16:47.000Z,#hashtag1 SJCAM SJ8 Pro yi 4K 60fps action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom WiFi Remote Control Sports DV cam https://buyandfast.com/sjcam-sj8-pro-yi-4k-60fps-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-wifi-remote-control-sports-dv-cam/…,,,
Shahid Khanz,@ShahidKhanz4,2020-05-08T23:22:56.000Z,"Replying to 
@MadhavSheth1I like this realme phone realme x3 super zoom when this coming... i will definitely going buy if its single punch hole selfi camera with super amoled screen with Dolby atmos sound dual speakers with 5g",,,
Ross Floate,@RossFloate,2020-05-08T00:36:56.000Z,Why did nobody tell me that Zoom has dual-screen support? Game-changer.,1,,1
Rachel Hendery,@RHendery,2020-05-07T04:54:12.000Z,"Replying to 
@lindamciverI discovered a setting buried in zoom the other day for dual monitors. It lets you move one window off onto another screen. Now I put the one with the gallery view on another screen, and keep the ""speaker view"" or screenshare one on my main screen, and I rarely have to see myself",3,,4
Cathleen Vernon,@CathleenVernon,2020-05-06T21:36:18.000Z,"Replying to 
@kschase13You can use your cell phone as a webcam with NDI software. I have dual monitors but no camera, so I opted for that. Works beautifully on Zoom. I have ordered a bendable phone stand for about $25 so that my phone camera is facing me, just above the screen.",1,,
Rachel L,@rachel_s_l,2020-05-06T03:16:58.000Z,"Replying to 
@takaki_komiyamamy method is probably: zoom with dual screen (laptop + additional monitor). one screen is ppt, the other is presenter view. use presenter view to flip back and forth, zoom share the full ppt.",1,,1
𝐸𝓃𝓇𝒾𝒸𝑜 𝒯𝑒𝑜𝓉𝓉𝒾,@agenteo,2020-05-02T13:12:11.000Z,"You might already know but Zoom has a dual window / dual monitor feature to allow you to split the video or the screen share from the gallery view. First pic is the speaker on window 1 and gallery on window 2. Second pic, is the shared screen on window 1 and gallery window 2. HTH",3,1,1
Dark Robin Rising,@DarkRobinRising,2020-05-02T12:38:41.000Z,"Replying to 
@Melonhead999
 and 
@algingersmithThat's Pornhub running during #BBCaq Zoom session on the MPs' dual screen",,,1
TLS,@TaliaSalomon,2020-05-01T08:57:58.000Z,"@zoom_us
 I’m trying to find a fixed way to on Zoom to simultaneously spotlight 2 participants so that essentially it creates a dual/split screen mode of two “hosts” side by side for the duration of the meeting for all other participants to view whilst they are muted out? Pls help",,,
Nelson German,@NellyTSQ,2020-04-30T22:04:10.000Z,"The #LGV60ThinQ is one of the best devices to use in the current climate. The dual screen case allows you to multitask like a pro! Take a #Zoom call on one screen while you browse your favorite dog IG accounts on another! #NERules 
@TyTykim001
 @ScottWalz439",,4,10
Mike Solyom,@ForLangley,2020-04-29T01:23:21.000Z,"Replying to 
@kevinmilliganI’m loving using a dual monitor setup with Kultura Capture. Lecture slides on one screen, FRED or a whiteboard on the other — I just borrowed my sister’s digital pen do no more mouse-made diagrams! Zoom Q&A once a week with me talking and them typing.",1,,2
Bob Strecansky,@bobstrecansky,2020-04-25T03:42:27.000Z,"Replying to 
@mdlayherThe requirements listed on their site for Linux:
https://support.zoom.us/hc/en-us/articles/210707503-Virtual-Background…
Linux Requirements

Zoom Desktop Client for Linux, version 2.0.91373.0502 or higher
Dual Core 2Ghz or Higher (i5/i7 or AMD equivalent) processor
A physical green screen

Maybe they just look for Intel procs?",1,,
- - 🆉🅸🅼 - -,@wasatchpatch,2020-04-24T20:55:34.000Z,"Replying to 
@kipsDS2010That's ridiculous:  this was just dictated into my airpods and projected upon my new dual-screen desktop zoom center complete with deluxe lighting while leaning back in my new office chair and enjoying the under desk foot massager in front of the new fireplace.  Ridiculous. ;)",,,2
Ken Hayes,@KenHayesLA,2020-04-24T17:24:10.000Z,"Replying to 
@EggersMatt
 @TimMLatimer
 and 
@zoom_usThe trick to Zoom on dual monitors is to *not* use full screen, but keep everything in windows, otherwise you lose control and can't get to any other open apps.",,,1
Nur,@Nurlalah,2020-04-24T09:34:46.000Z,"Replying to 
@IphieTalk
 and 
@OluyomiOjoIt may also be the content they're giving him: I heard some schools were just sending YouTube videos. We got some learning videos, but had to do classwork via Zoom and Hangout (they had a dual screen so kids were pronouncing words and would switch over to their friends screen).",1,,
"Dr. Paul Taylor-Pitt
(he / him)",@NHSE_PaulT,2020-04-24T08:56:25.000Z,"Joining #ODNE2020 with dual screen zoom makes it feel very immersive 
 @ODN_Europe",1,2,16
Asif Iqbal Tushar,@2shr7,2020-04-22T13:33:50.000Z,"Replying to 
@kmmbdzoom is 3rd most gimmicky thing, 1st & 2nd are LG’s hand gesture & dual screen.",1,,
Bedo,@hamzza,2020-04-22T07:28:23.000Z,"Dual Screen by #LG
""You can chat with your colleagues over Zoom on one screen and look at cute pets on Instagram with the other. Want to browse Twitter while watching Netflix, YouTube, or Prime Video? Have at it. ""LG V60 Dual Screen review: V for versatility
LG’s latest phone offers flagship specs for less than a Samsung Galaxy S20.
theverge.com",1,,
Because The Buovsiel,@buovsiel,2020-04-21T16:59:42.000Z,"What I look for in a gaming phone

1: A 600MP camera by Samsung
2: A 100x zoom camera
3: A headphone jack
4: Dock to a monitor
5: Accessories (like a fan and a dual screen one) included in the box
6: A 5000mah battery
7: An IR blaster
8: 5 cameras
9: 3 front facing cameras",1,2,
lecksy,@Leckksy,2020-04-19T20:21:10.000Z,"Replying to 
@MrLikerrrHindi sakin yan hahah. Naka dual screen lang ako nan yung isa sa zoom pinapanood ko siya tapos yung app para ma control ko vibrator niya heheh",1,,
randomguy,@76Randomguy,2020-04-19T12:20:19.000Z,"Replying to 
@DOPrestonYeah it's always a great night!! No party this year though sadly. Maybe a dual screen TV and Zoom!!",,,1
"Richard Corfield
{
}",@m0rjc,2020-04-16T21:21:51.000Z,"Replying to 
@paulgailey
 @AngieMaxwell1
 and 
@crlvideoProblem is, in Zoom, only one participant can screen share at once and it shows full screen. If you're on dual monitor you keep the gallery view with their camera as well as their shared screen.

You'd need a virtual webcam, maybe a screen capture dongle watching the video.",1,,1
Daniel Bader,@journeydan,2020-04-16T19:04:46.000Z,"This is smart. 
@lgcanada
 is doing its V60 media briefing on the phone itself by utilizing the Dual Screen accessory: Zoom on the left with a video demo, Microsoft Teams on the right with a presentation.",1,2,20
Ben Finio,@BenFinio,2020-04-15T13:12:19.000Z,"Replying to 
@TeachBetterCo
 @GoodNotesApp
 and 
@tedsvoDo you mean using PowerPoint on an iPad? I know on a dual-monitor PC you can click ""swap slides and presenter view"" which will fix the problem of Zoom attendees seeing the wrong screen. Not sure if that's your issue though.",1,,
Piyushdarji,@PdTech009,2020-04-15T08:58:01.000Z,"Honor 30pro
√kirin990 5G
√ 40 mp imx600
√40watt super charge
√32+8  selfie
√5x optical zoom
√dual stereo speakers
√OLED screen
  Price:•8/128GB  3999 yuan

          •8/256GB  4399 yuan
For full details 
Here:https://pdtech009.blogspot.com/?m=1
#Honor30Pro 
#Honor30series",,,1
hello wisconsin,@doughyfingers,2020-04-14T16:42:52.000Z,"Me after the Zoom meeting with my 2nd grade dual language kids 
 they each read aloud from a book on the screen and then did a “big idea” graph together. STAY HOME.",,,1
FintechZoom,@FinTechZoom,2020-04-09T05:29:32.000Z,"New article: ""Microsoft won't release its Surface Neo dual-screen PC later this year"" has been published on Fintech Zoom - https://fintechzoom.com/fintech_news_news/microsoft-wont-release-its-surface-neo-dual-screen-pc-later-this-year/… 
@FintechZoom
 #Fintech #Blockchain #Crypto #Cryptocurrency #ICO",1,,
Andrew Carver,@apcarver,2020-04-08T15:53:08.000Z,"Zoom has a ""Use Dual Monitors"" setting where you can view participant videos on one screen and be able to share your desktop on another and you can set full screen to default when you join using this.  This of course means your meeting looks like this when nobody else is on.",1,,6
Ryan Wibawa,@RyanWibawa,2020-04-07T18:01:38.000Z,"Doing biz every day.. zoom is much better w/ dual-screen.. @ Pleasanton, California https://instagram.com/p/B-sF_SPjibj/?igshid=1i0yxqc4tplp9…",,,
Christopher Kusek,@cxi,2020-04-06T02:20:05.000Z,"Curious, does anyone have a way to use Zoom to do Powerpoint presenter mode while NOT SHOWING PRESENTER MODE TO THE AUDIENCE. With a single screen, and not having to use a dual-screen. Thanks in advance!",5,,1
Gabe Mark,@GabeMark2,2020-04-05T17:45:15.000Z,"Replying to 
@rohangilkes
 @zoom_us
 and 
@verge@rohangilkes
 you can enable a setting that plays a chime every time someone has entered the waiting room. If you have dual screens at your workstation this would allow you to admit the participant on one screen without stopping your presentation on the other",1,,
PS Brookes,@PSBROOKES,2020-04-02T20:47:23.000Z,"Replying to 
@McLNeuroPro-tip...
Starting a screen-share in 
@zoom_us
 while running dual monitors and having PowerPoint in presentation mode, will crash the everloving shit out of a PC! #AskMeHowIKnow",,,1
Rob Warner,@hoop33,2020-04-02T17:37:54.000Z,"All I want to do is stop Zoom from going full-screen each time someone shares their screen. I don't have the option referred to in this link: https://makeitallwork.com/2019/03/19/how-to-prevent-zoom-automatically-going-full-screen/… and my ""Use dual monitors"" checkbox is grayed out. I'm hex dumping nibs and plists now #ZoomHow To Prevent Zoom Automatically Going Full Screen | Make IT All Work
Here's how I disabled Zoom from going full-screen when another meeting attendee shared their screen. Now Zoom is less frustrating to use!
makeitallwork.com",,,
Ditlev E. Brodersen,@ditlevbrodersen,2020-04-01T14:07:36.000Z,"Dual-screen group meeting and journal club. Pretty fab, actually. And I love the virtual background feature in #zoom! #journalclub #groupmeeting #virtualmeeting",,,4
Zoë Stephens,@artsytype_83,2020-03-31T20:39:05.000Z,Hating the fact I can't have a virtual background on my Zoom account coz my MacBook Air is only Dual Core i5 not Quad Core i5 and I'm not geeky enough to own a green screen ,7,1,6
Miss G,@MissGeorgeLHS,2020-03-31T17:25:05.000Z,"I just did a test Zoom with a few of my 2nd Period kids and one of them showed up with a FULL FILM SET - like, fancy microphone, green screen, a spotlight, dual monitors - how dare he.  Now I need a green screen.  It was so nice to see & hear from them!  Zoom is fun!GIF",1,,13
Andy 97,@Android_Os_Fan,2020-03-31T13:29:05.000Z,"Replying to 
@MrwhosethebossWhy are they putting 5 cameras in a phone, instead of improving e.g the Zoom and Wideangle Quality! And Why did they follow Samsungs Way with 3 Flagships, instead of maybe just 2, are 1000€/$ not enough? And why(!) Do they use dual Edge Displays instead of flat, full screen!?",,1,1
Ilse Cleeves,@deltaskooti,2020-03-30T23:34:00.000Z,"Replying to 
@astrocaitsI 1) set dual screen, not mirroring, then share the entire secondary desktop on zoom (wherever the presentation shows normally) then 2) start presentation such that the presenter notes are on the primary (laptop) screen, then I drag the zoom bar to the primary screen and ...",1,,3
"Dom
#TechAvengers",@DCJReviews,2020-03-30T20:12:42.000Z,"Replying to 
@TechKingMikeI really want that dual screen. It would be really cool to have that insane zoom. I think I'm diggin the V60 more. Mainly due to the price I think",,,1
Emery Wells,@emerywells,2020-03-30T20:09:43.000Z,"Replying to 
@jboehmigI recently gave my first all remote all hands to 130. Two things I tried that worked:

1. Dual screen allowed me to have presso open on one screen and zoom grid on another. 

2. Asked ~15 people to keep mic on so there was some audience participation and room wouldn’t feel dead.",2,1,5
"Nick Bestor, PhD",@Bestorb,2020-03-30T17:11:36.000Z,"""Ooo, I should find my old laptop, see if I can pull off some sort of dual-monitor set-up for Zoom!""
Tragically, my old laptop does not want to connect to the Internet. However I think I figured out how to get everything I want onto a single, very cluttered screen.",1,,
Sujan Barman,@SujanBarman_,2020-03-27T15:47:00.000Z,"#RedmiK30Pro 
 Snapdragon 865 
 UFS 3.1 + LPDDR5 
 Dual OIS optical image stabilization 
 Samsung E3 AMOLED screen HDR10+, DC dimming 
 64MP, 3x optical / 30x digital zoom 
 Dual-mode #5G, Wi-Fi 6, 5G MultiLink  
 Super Bluetooth HiFi Audio, Hi-Res Audio",,,1
MiHUB NG ❁,@mihubng,2020-03-27T06:10:14.000Z,"Redmi K30 Pro specs
Snapdragon 865
Dual-mode #5G, Wi-Fi 6, 5G MultiLink 
UFS 3.1 + LPDDR5
64MP, 3x optical / 30x digital zoom 
Dual OIS optical image stabilization 
Samsung E3 AMOLED screen HDR10+, DC dimming 
Super Bluetooth HiFi Audio, Hi-Res Audio
#RedmiK30Pro",2,3,11
Jared Correia,@RedCaveLegal,2020-03-26T20:01:12.000Z,"RT 
@tommighell
: RT 
@pcworld
: How to set up Zoom video for dual monitors and screen sharing with PowerPoint: http://ow.ly/SyIG30qsbxj by 
@GordonungHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
Paddy Duffy,@PaddyDuffy,2020-03-26T10:49:06.000Z,"I have a daily Zoom call with work. To do it I put my phone into a dual screen case, and when I clock off for the day I put it back in its more comfy case. My phone gets more dressed up for work than I do.",,,5
IK Tech,@iktech6,2020-03-26T05:05:47.000Z,"#HuaweiP40 Series launch today: Livestream https://youtu.be/9njMJBA6fIg
OLED Display,Kirin 990, 
50MP Triple Cameras,Dual Punch-Hole Selfie
#Huawei #HuaweiP40Pro •6.6"" screen •Leica 50+40+12 Rear Cameras •32MP F/Camera •10x Optical Zoom •4200mAh Battery •Kirin 9905G •8GB RAM",,,
𝗧𝗲𝗰𝗵 𝗣𝗿𝗲𝗮𝗰𝗵𝗲𝗿,@techpreacher8,2020-03-25T18:25:45.000Z,"2, 6.58-inch 120Hz screen, 4200mAh battery, faster charging
 3, Kirin 990 5G, 12GB memory,
 4, dual telephoto lens, 10x optical zoom, available in summer
2/2",,,
𝗧𝗲𝗰𝗵 𝗣𝗿𝗲𝗮𝗰𝗵𝗲𝗿,@techpreacher8,2020-03-25T18:21:20.000Z,"Huawei P40 Pro+ 5G
Kirin 990 5G
12 GB RAM
120 Hz screen
same size as Pro
Dual telephoto cams w/ up to 10x optical zoom
Faster charging, but ~same battery size as Pro
Available in summer
@techpreacher03",,,1
TechWafer,@thetechwafer,2020-03-25T17:13:27.000Z,"Huawei P40 Pro+ 5G
Kirin 990 5G
12 GB RAM
120 Hz screen
same size as Pro
Dual telephoto cams w/ up to 10x optical zoom
Faster charging, but ~same battery size as Pro #huawei #p40pro",,,
Nirupam🅛,@nirupam_090,2020-03-25T17:09:40.000Z,"Huawei P40 Pro+ 5G
Kirin 990 5G
12 GB RAM
120 Hz screen
same size as Pro
Dual telephoto cams w/ up to 10x optical zoom
Faster charging, but ~same battery size as Pro
Available in summer",,,2
Roland Quandt,@rquandt,2020-03-25T16:11:19.000Z,"Huawei P40 Pro+ 5G
Kirin 990 5G
12 GB RAM
120 Hz screen
same size as Pro
Dual telephoto cams w/ up to 10x optical zoom
Faster charging, but ~same battery size as Pro
Available in summer",22,31,258
buyandfast,@NGamiotea,2020-03-25T14:36:04.000Z, SJCAM SJ8 Pro 4K wifi action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom Remote Control Sports DV sj yi 4k cam https://buyandfast.com/sjcam-sj8-pro-4k-wifi-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-remote-control-sports-dv-sj-yi-4k-cam/… https://buyandfast.com Free Shipping,,,
Erwann Mest,@_kud,2020-03-25T10:02:30.000Z,"Hey 
@SlackHQ
 , could you add some settings for the mini-window mode? It's quite annoying when you've got dual-screen and the popup appears on the slack window because you focused on another window. Zoom deals it really great.",1,,
𝗧𝗲𝗰𝗵 𝗣𝗿𝗲𝗮𝗰𝗵𝗲𝗿,@techpreacher8,2020-03-24T20:34:24.000Z,"5G Powerful performance] Snapdragon 865 + UFS 3.1 + LPDDR5 + Wi-Fi 6 + VC cooling
 [Flagship image] Sony 64 million four cameras + 30x zoom + dual optical image stabilization
 [High-definition screen] Samsung E3 AMOLED screen + 360 ° super light screen
 From 2999 yuan!",,,
Presentation Guild,@presentguild,2020-03-24T18:07:55.000Z,"How to set up Zoom video for dual monitors and screen sharing with #PowerPoint https://pcworld.com/article/3532337/how-to-set-up-zoom-video-for-dual-monitors-and-screen-sharing-with-powerpoint.html… via 
@pcworldHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,3,3
